ILE_BANKOW;ILE_BANKOW_12;ILE_MIES_OD_NAJSTAR_OTW;ILE_MIES_OD_NAJSTAR_OTW_NRAT;ILE_MIES_OD_NAJSTAR_OTW_RAT;ILE_PRODUKTOW;ILE_RACH_OTW;ILE_RACH_OTW_12;ILE_RACH_OTW_NRAT;ILE_RACH_OTW_NRAT_12;ILE_RACH_OTW_RAT;ILE_RACH_OTW_RAT_12;ILE_RACH_OTW_BEZ_HIPO;ILE_RACH_OTW_KARTY;ILE_RACH_OTW_ODNAWIALNE;ILE_RACH_ZAMK;ILE_ZAPYTAN_12;ILE_ZAPYTAN_3;ILE_ZAPYTAN_6;ILE_ZAPYTAN_9;L_RACHUNKOW;MAX_NAL_WYMAGAL;MAX_RATA;MAX_WNIOSKODAWCY;MIN_L_RAT_DO_SPLATY;SUMA_DO_SPLATY;SUMA_DO_SPLATY_BEZ_HIPO;SUMA_DO_SPLATY_KARTY;SUMA_DO_SPLATY_NRAT;SUMA_DO_SPLATY_ODNAWIALNE;SUMA_DO_SPLATY_RAT;SUMA_LIMIT;SUMA_LIMIT_KARTY;SUMA_LIMIT_ODNAWIALNE;SUMA_NAL_WYMAGAL;SUMA_NAL_WYMAGAL_BEZ_HIPO;SUMA_NAL_WYMAGAL_KARTY;SUMA_NAL_WYMAGAL_NRAT;SUMA_RATA;STATUS
1;0;29,65;0;29,65;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;274;1;18;4903;4903;0;0;0;4903;0;0;0;0;0;0;0;274;0
3;0;35,68;35,68;18,71;3;4;0;3;0;1;0;4;2;1;2;0;0;0;0;6;366;382;1;27;24085;24085;10345;13602;3257;10483;14500;10500;4000;897;897;498;645;382;0
1;1;140,26;140,26;5,13;2;2;1;1;0;1;1;2;0;1;4;1;0;1;1;6;0;104;1;10;2631;2631;0;1589;1589;1042;1600;0;1600;0;0;0;0;104;0
2;0;113,39;113,39;0;1;2;0;2;0;0;0;2;2;0;1;0;0;0;0;3;0;-1;1;0;11735;11735;11735;11735;0;0;16400;16400;0;0;0;0;0;0;0
1;0;91;91;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;1238;1238;0;1238;1238;0;6000;0;6000;0;0;0;0;0;0
1;0;137,97;137,97;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;-1;2;0;0;0;0;0;0;0;300;0;300;0;0;0;0;0;0
2;0;139,13;139,13;10,19;2;2;2;1;0;1;2;2;0;1;5;0;0;0;0;7;0;663;1;23;21783;21783;0;6306;6306;15477;8000;0;8000;0;0;0;0;663;0
1;0;31,71;16,77;31,71;2;3;0;1;0;2;0;1;1;0;0;0;0;0;0;3;0;1286;2;180;293520,5758;0;0;0;0;293520,5758;1000;1000;0;0;0;0;0;1552,9334;0
3;1;53,97;53,97;9,16;3;3;1;2;0;1;1;3;1;1;3;1;0;0;0;6;0;168;1;25;4206;4206;0;0;0;4206;1000;500;500;0;0;0;0;168;0
1;0;41,23;0;41,23;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1578,7861;2;2664;420184,9034;0;0;0;0;420184,9034;0;0;0;0;0;0;0;1578,7861;0
