ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset,NEW_STATUS
1,1.0,3.23,3.23,0.0,1,1,1,1,1,0,0,1,0,1,0,1.0,0.0,1.0,1.0,1,0.0,-1.0,1,0.0,56.0,56.0,0.0,56.0,56.0,0.0,464.0,0.0,464.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
1,1.0,80.42,80.42,18.19,2,2,0,1,0,1,0,2,1,0,1,1.0,1.0,1.0,1.0,3,75.0,264.0,1,6.0,1629.0,1629.0,75.0,75.0,0.0,1554.0,500.0,500.0,0.0,75.0,75.0,75.0,75.0,264.0,1,new data,0
3,0.0,34.39,0.0,34.39,1,3,0,0,0,3,0,3,0,0,5,0.0,0.0,0.0,0.0,8,1535.0,99.0,1,6.0,2365.0,2365.0,0.0,0.0,0.0,2365.0,0.0,0.0,0.0,2365.0,2365.0,0.0,0.0,99.0,2,new data,1
1,0.0,39.23,39.23,35.52,2,2,0,1,0,1,0,2,1,0,3,0.0,0.0,0.0,0.0,5,2299.0,0.0,1,0.0,3332.0,3332.0,1033.0,1033.0,0.0,2299.0,1000.0,1000.0,0.0,3332.0,3332.0,1033.0,1033.0,0.0,2,new data,1
1,1.0,2.06,0.0,2.06,1,1,1,0,0,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1,0.0,649.0,2,51.0,33118.0,33118.0,0.0,0.0,0.0,33118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,1,new data,0
2,1.0,58.58,58.58,30.65,2,3,1,2,1,1,0,3,2,0,5,1.0,0.0,1.0,1.0,8,312.0,1091.0,2,36.0,39716.0,39716.0,957.0,957.0,0.0,38759.0,4400.0,4400.0,0.0,312.0,312.0,312.0,312.0,1091.0,1,new data,0
1,0.0,92.68,92.68,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,7.0,-1.0,1,0.0,7.0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,0.0,0,new data,0
1,1.0,8.74,8.74,0.0,1,1,1,1,1,0,0,1,1,0,1,1.0,0.0,0.0,1.0,2,0.0,-1.0,1,0.0,471.0,471.0,471.0,471.0,0.0,0.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
2,1.0,134.35,134.35,0.0,2,2,1,2,1,0,0,2,1,1,1,1.0,1.0,1.0,1.0,3,0.0,-1.0,1,0.0,494.0,494.0,494.0,494.0,0.0,0.0,2300.0,2000.0,300.0,0.0,0.0,0.0,0.0,0.0,1,new data,0
1,2.0,0.58,0.0,0.58,1,1,1,0,0,1,1,1,0,0,0,2.0,2.0,2.0,2.0,1,0.0,229.0,1,36.0,8253.0,8253.0,0.0,0.0,0.0,8253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,2,new data,1
1,0.0,34.65,0.0,34.65,1,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,314.0,2,42.0,13202.0,13202.0,0.0,0.0,0.0,13202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0,new data,0
1,0.0,90.19,0.0,90.19,1,1,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,0.0,3,2148.0,0.0,1,0.0,2148.0,2148.0,0.0,0.0,0.0,2148.0,0.0,0.0,0.0,2148.0,2148.0,0.0,0.0,0.0,2,new data,1
1,0.0,51.1,0.0,51.1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,1081.0,2,230.0,248515.0,0.0,0.0,0.0,0.0,248515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,0,new data,0
1,0.0,108.39,108.39,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,2,0.0,4099.0,4099.0,0.0,4099.0,4099.0,0.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
2,0.0,23.55,0.0,23.55,2,2,0,0,0,2,0,2,0,0,1,0.0,0.0,0.0,0.0,3,0.0,253.0,1,1.0,4930.0,4930.0,0.0,0.0,0.0,4930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,1,new data,0
2,1.0,95.55,0.0,95.55,2,3,1,0,0,3,1,2,0,0,1,1.0,1.0,1.0,1.0,4,0.0,1261.0577,2,10.0,307584.55,7238.0,0.0,0.0,0.0,307584.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685.0577,0,new data,0
3,3.0,38.74,0.0,38.74,2,5,0,0,0,5,0,5,0,0,5,8.0,2.0,6.0,7.0,10,0.0,489.0,1,8.0,44850.0,44850.0,0.0,0.0,0.0,44850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.0,1,new data,0
2,3.0,14.39,7.58,14.39,3,3,2,1,1,2,1,2,0,1,1,3.0,0.0,2.0,3.0,4,0.0,232.0,2,22.0,27884.0,3646.0,0.0,1822.0,1822.0,26062.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,316.0,0,new data,0
1,1.0,18.45,18.45,0.0,1,1,0,1,0,0,0,1,1,0,2,1.0,0.0,1.0,1.0,3,0.0,-1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,new data,0
4,4.0,176.16,73.48,176.16,4,11,3,3,0,8,3,11,2,1,0,5.0,1.0,5.0,5.0,11,626.4405,1638.0,2,8.0,121641.43,121641.43,20284.0,22360.0,2076.0,99281.43,24700.0,20400.0,4300.0,626.4405,626.4405,0.0,0.0,5634.1935,1,new data,0
2,0.0,244.94,244.94,140.58,3,3,0,1,0,2,0,2,0,1,1,0.0,0.0,0.0,0.0,4,0.0,548.0,2,33.0,51760.3611,18221.0,0.0,0.0,0.0,51760.3611,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,818.5108,0,new data,0
1,0.0,114.71,0.0,114.71,1,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,3.0,0.0,1,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,new data,0
1,0.0,56.77,0.0,56.77,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,646.0,2,141.0,91210.0,0.0,0.0,0.0,0.0,91210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0,new data,0
3,6.0,122.26,122.26,119.06,3,6,0,1,0,5,0,6,0,1,0,10.0,0.0,0.0,0.0,6,4038.0,3931.0,4,5.0,69686.0,69686.0,0.0,1129.0,1129.0,68557.0,1129.0,0.0,1129.0,11941.0,11941.0,0.0,1127.0,5137.0,2,new data,1
