ILE_BANKOW,ILE_BANKOW_12,ILE_MIES_OD_NAJSTAR_OTW,ILE_MIES_OD_NAJSTAR_OTW_NRAT,ILE_MIES_OD_NAJSTAR_OTW_RAT,ILE_PRODUKTOW,ILE_RACH_OTW,ILE_RACH_OTW_12,ILE_RACH_OTW_NRAT,ILE_RACH_OTW_NRAT_12,ILE_RACH_OTW_RAT,ILE_RACH_OTW_RAT_12,ILE_RACH_OTW_BEZ_HIPO,ILE_RACH_OTW_KARTY,ILE_RACH_OTW_ODNAWIALNE,ILE_RACH_ZAMK,ILE_ZAPYTAN_12,ILE_ZAPYTAN_3,ILE_ZAPYTAN_6,ILE_ZAPYTAN_9,L_RACHUNKOW,MAX_NAL_WYMAGAL,MAX_RATA,MAX_WNIOSKODAWCY,MIN_L_RAT_DO_SPLATY,SUMA_DO_SPLATY,SUMA_DO_SPLATY_BEZ_HIPO,SUMA_DO_SPLATY_KARTY,SUMA_DO_SPLATY_NRAT,SUMA_DO_SPLATY_ODNAWIALNE,SUMA_DO_SPLATY_RAT,SUMA_LIMIT,SUMA_LIMIT_KARTY,SUMA_LIMIT_ODNAWIALNE,SUMA_NAL_WYMAGAL,SUMA_NAL_WYMAGAL_BEZ_HIPO,SUMA_NAL_WYMAGAL_KARTY,SUMA_NAL_WYMAGAL_NRAT,SUMA_RATA,STATUS,dataset
1,0.0,30.0,0.0,30.0,1,1,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,274.0,1,18.0,4903.0,4903.0,0.0,0.0,0.0,4903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0,bik
3,0.0,36.0,36.0,19.0,3,4,0,3,0,1,0,4,2,1,2,0.0,0.0,0.0,0.0,6,366.0,382.0,1,27.0,24085.0,24085.0,10345.0,13602.0,3257.0,10483.0,14500.0,10500.0,4000.0,897.0,897.0,498.0,645.0,382.0,0,bik
1,1.0,140.0,140.0,5.0,2,2,1,1,0,1,1,2,0,1,4,1.0,0.0,1.0,1.0,6,0.0,104.0,1,10.0,2631.0,2631.0,0.0,1589.0,1589.0,1042.0,1600.0,0.0,1600.0,0.0,0.0,0.0,0.0,104.0,0,bik
2,0.0,113.0,113.0,0.0,1,2,0,2,0,0,0,2,2,0,1,0.0,0.0,0.0,0.0,3,0.0,-1.0,1,0.0,11735.0,11735.0,11735.0,11735.0,0.0,0.0,16400.0,16400.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,91.0,91.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,2,0.0,1238.0,1238.0,0.0,1238.0,1238.0,0.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0,bik
1,0.0,138.0,138.0,0.0,1,1,0,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,1,0.0,-1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0,bik
2,0.0,139.0,139.0,10.0,2,2,2,1,0,1,2,2,0,1,5,0.0,0.0,0.0,0.0,7,0.0,663.0,1,23.0,21783.0,21783.0,0.0,6306.0,6306.0,15477.0,8000.0,0.0,8000.0,0.0,0.0,0.0,0.0,663.0,0,bik
1,0.0,32.0,17.0,32.0,2,3,0,1,0,2,0,1,1,0,0,0.0,0.0,0.0,0.0,3,0.0,1286.0,2,180.0,293521.0,0.0,0.0,0.0,0.0,293521.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1553.0,0,bik
3,1.0,54.0,54.0,9.0,3,3,1,2,0,1,1,3,1,1,3,1.0,0.0,0.0,0.0,6,0.0,168.0,1,25.0,4206.0,4206.0,0.0,0.0,0.0,4206.0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,168.0,0,bik
1,0.0,41.0,0.0,41.0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,1579.0,2,2664.0,420185.0,0.0,0.0,0.0,0.0,420185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1579.0,0,bik
